party_identification,political_viewpoint,marital_status,sex,cohort
Strong Republican,Slightly Conservative,Divorced,Male,Post-War
Not Very Strong Democrat,Moderate,Married,Female,Millenial
Not Very Strong Republican,Slightly Liberal,Widowed,Female,Gen X
Other Party,Liberal,Divorced,Female,Gen Z
Independent (Neither),Extremely Liberal,Separated,Female,Boomer
Independent (Neither),Conservative,Widowed,Female,Boomer
"Independent, Close to Democrat",Slightly Conservative,Divorced,Male,Boomer
Other Party,Conservative,Divorced,Female,Millenial
Strong Republican,Extremely Liberal,Never Married,Male,Gen X
Not Very Strong Democrat,Extremely Liberal,Married,Female,Boomer
Other Party,Moderate,Married,Male,Gen Z
Independent (Neither),Liberal,Married,Male,Millenial
Independent (Neither),Slightly Conservative,Widowed,Female,Millenial
Not Very Strong Republican,Moderate,Divorced,Female,Gen X
Strong Democrat,Moderate,Separated,Female,Millenial
Other Party,Conservative,Never Married,Female,Post-War
"Independent, Close to Republican",Conservative,Married,Female,Gen Z
Not Very Strong Republican,Liberal,Widowed,Male,Boomer
"Independent, Close to Democrat",Moderate,Never Married,Male,Gen Z
"Independent, Close to Republican",Conservative,Married,Male,Gen X
Independent (Neither),Slightly Liberal,Divorced,Female,Post-War
Strong Republican,Slightly Liberal,Divorced,Male,Gen Z
Independent (Neither),Extremely Liberal,Never Married,Male,Gen Z
Independent (Neither),Conservative,Divorced,Female,Millenial
Other Party,Liberal,Married,Male,Gen X
Strong Democrat,Slightly Conservative,Never Married,Female,Millenial
"Independent, Close to Democrat",Slightly Liberal,Separated,Male,Boomer
Not Very Strong Democrat,Extremely Conservative,Married,Female,Millenial
"Independent, Close to Democrat",Conservative,Divorced,Female,Boomer
Not Very Strong Republican,Conservative,Separated,Female,Post-War
Strong Democrat,Liberal,Married,Female,Post-War
"Independent, Close to Republican",Slightly Liberal,Never Married,Male,Post-War
"Independent, Close to Democrat",Extremely Liberal,Never Married,Male,Millenial
Not Very Strong Republican,Extremely Liberal,Separated,Female,Gen Z
Other Party,Conservative,Widowed,Female,Millenial
Independent (Neither),Slightly Liberal,Never Married,Female,Millenial
"Independent, Close to Democrat",Liberal,Separated,Male,Gen Z
Not Very Strong Democrat,Liberal,Married,Female,Gen Z
"Independent, Close to Democrat",Slightly Conservative,Divorced,Female,Boomer
Independent (Neither),Moderate,Married,Male,Post-War
Strong Republican,Extremely Conservative,Married,Male,Gen Z
Other Party,Extremely Conservative,Married,Female,Gen Z
Strong Democrat,Extremely Liberal,Never Married,Male,Gen Z
Independent (Neither),Extremely Liberal,Never Married,Male,Boomer
Not Very Strong Democrat,Slightly Conservative,Widowed,Male,Boomer
Independent (Neither),Moderate,Divorced,Male,Post-War
Other Party,Extremely Conservative,Never Married,Male,Gen Z
Not Very Strong Democrat,Liberal,Separated,Male,Millenial
Strong Democrat,Liberal,Married,Female,Millenial
Other Party,Liberal,Divorced,Female,Post-War
Not Very Strong Democrat,Moderate,Divorced,Male,Post-War
Strong Democrat,Moderate,Married,Female,Gen X
Not Very Strong Democrat,Conservative,Married,Male,Millenial
Strong Republican,Conservative,Never Married,Male,Gen Z
Independent (Neither),Moderate,Divorced,Female,Boomer
"Independent, Close to Democrat",Slightly Liberal,Married,Female,Gen X
Not Very Strong Democrat,Moderate,Separated,Female,Gen Z
Strong Democrat,Conservative,Separated,Female,Gen X
Strong Republican,Moderate,Never Married,Male,Gen Z
Independent (Neither),Liberal,Married,Female,Millenial
"Independent, Close to Republican",Liberal,Never Married,Female,Gen X
Not Very Strong Democrat,Extremely Liberal,Never Married,Female,Gen Z
Not Very Strong Republican,Conservative,Never Married,Male,Millenial
"Independent, Close to Republican",Conservative,Separated,Male,Boomer
Not Very Strong Democrat,Conservative,Divorced,Male,Post-War
"Independent, Close to Democrat",Conservative,Never Married,Female,Millenial
Independent (Neither),Extremely Conservative,Never Married,Female,Post-War
Strong Republican,Extremely Liberal,Divorced,Female,Gen Z
Independent (Neither),Slightly Liberal,Divorced,Male,Gen X
Independent (Neither),Conservative,Separated,Female,Post-War
"Independent, Close to Republican",Conservative,Divorced,Female,Gen X
"Independent, Close to Democrat",Moderate,Separated,Male,Gen X
Not Very Strong Republican,Conservative,Married,Male,Boomer
Not Very Strong Republican,Extremely Conservative,Separated,Male,Boomer
Strong Republican,Extremely Conservative,Married,Male,Gen Z
"Independent, Close to Republican",Extremely Conservative,Widowed,Male,Millenial
Strong Republican,Liberal,Widowed,Male,Gen Z
Independent (Neither),Extremely Conservative,Never Married,Male,Post-War
Strong Democrat,Moderate,Never Married,Male,Gen Z
Not Very Strong Republican,Extremely Liberal,Never Married,Male,Millenial
Strong Republican,Extremely Liberal,Separated,Female,Boomer
Independent (Neither),Slightly Conservative,Never Married,Female,Boomer
Strong Democrat,Slightly Liberal,Married,Female,Gen X
Independent (Neither),Extremely Liberal,Divorced,Male,Millenial
"Independent, Close to Democrat",Slightly Conservative,Married,Male,Boomer
"Independent, Close to Republican",Extremely Liberal,Never Married,Female,Millenial
Not Very Strong Democrat,Conservative,Separated,Male,Millenial
Not Very Strong Democrat,Moderate,Widowed,Female,Boomer
Strong Democrat,Extremely Conservative,Divorced,Male,Boomer
Not Very Strong Democrat,Slightly Liberal,Never Married,Female,Boomer
Independent (Neither),Slightly Liberal,Never Married,Male,Post-War
"Independent, Close to Democrat",Conservative,Married,Female,Post-War
Strong Democrat,Conservative,Never Married,Male,Post-War
Not Very Strong Democrat,Slightly Liberal,Never Married,Male,Millenial
Not Very Strong Republican,Slightly Conservative,Married,Female,Post-War
Not Very Strong Republican,Slightly Liberal,Widowed,Male,Gen Z
Independent (Neither),Liberal,Never Married,Female,Millenial
Independent (Neither),Slightly Liberal,Divorced,Male,Boomer
Not Very Strong Democrat,Conservative,Married,Male,Boomer
Independent (Neither),Slightly Liberal,Divorced,Male,Gen X
"Independent, Close to Republican",Extremely Liberal,Never Married,Male,Boomer
Other Party,Slightly Liberal,Married,Male,Millenial
Strong Republican,Extremely Conservative,Separated,Female,Boomer
Independent (Neither),Conservative,Married,Male,Gen X
Other Party,Liberal,Separated,Female,Post-War
"Independent, Close to Democrat",Moderate,Divorced,Male,Millenial
"Independent, Close to Democrat",Slightly Liberal,Widowed,Female,Gen Z
Not Very Strong Republican,Conservative,Married,Female,Gen X
Strong Democrat,Extremely Conservative,Married,Female,Gen Z
Strong Democrat,Conservative,Divorced,Male,Gen Z
Independent (Neither),Extremely Liberal,Separated,Male,Boomer
"Independent, Close to Democrat",Liberal,Separated,Female,Millenial
Other Party,Extremely Conservative,Married,Male,Gen Z
Strong Democrat,Conservative,Widowed,Male,Post-War
Not Very Strong Democrat,Extremely Conservative,Never Married,Female,Gen Z
Strong Democrat,Conservative,Never Married,Male,Gen Z
Independent (Neither),Slightly Liberal,Widowed,Male,Post-War
Not Very Strong Democrat,Slightly Liberal,Widowed,Male,Boomer
Strong Democrat,Conservative,Divorced,Female,Post-War
"Independent, Close to Democrat",Liberal,Divorced,Female,Post-War
Not Very Strong Republican,Slightly Conservative,Divorced,Female,Gen X
Not Very Strong Democrat,Liberal,Widowed,Female,Post-War
Not Very Strong Democrat,Slightly Conservative,Divorced,Male,Post-War
"Independent, Close to Democrat",Slightly Liberal,Divorced,Female,Post-War
Not Very Strong Democrat,Liberal,Divorced,Female,Millenial
Not Very Strong Democrat,Conservative,Married,Male,Gen X
Not Very Strong Republican,Liberal,Widowed,Male,Gen Z
Other Party,Conservative,Married,Female,Gen Z
Other Party,Conservative,Married,Male,Gen Z
Not Very Strong Republican,Liberal,Married,Female,Gen Z
Strong Republican,Moderate,Divorced,Male,Boomer
Not Very Strong Republican,Extremely Liberal,Never Married,Male,Boomer
Strong Republican,Moderate,Widowed,Male,Boomer
Independent (Neither),Extremely Conservative,Never Married,Male,Post-War
Not Very Strong Republican,Slightly Conservative,Married,Female,Millenial
"Independent, Close to Democrat",Liberal,Widowed,Male,Gen X
"Independent, Close to Democrat",Conservative,Separated,Male,Millenial
Strong Republican,Slightly Conservative,Never Married,Female,Gen Z
Not Very Strong Democrat,Extremely Liberal,Widowed,Female,Gen Z
Independent (Neither),Extremely Conservative,Separated,Male,Boomer
Strong Republican,Conservative,Divorced,Male,Post-War
Not Very Strong Republican,Extremely Liberal,Married,Female,Gen X
Independent (Neither),Conservative,Married,Male,Gen X
"Independent, Close to Democrat",Slightly Liberal,Separated,Female,Millenial
"Independent, Close to Republican",Moderate,Never Married,Female,Boomer
Strong Republican,Moderate,Divorced,Female,Gen Z
Strong Republican,Liberal,Separated,Female,Gen X
"Independent, Close to Republican",Moderate,Divorced,Male,Millenial
Strong Democrat,Conservative,Widowed,Female,Gen X
Strong Republican,Slightly Liberal,Separated,Male,Post-War
Not Very Strong Republican,Conservative,Never Married,Male,Gen X
Strong Democrat,Moderate,Never Married,Male,Gen X
"Independent, Close to Democrat",Slightly Conservative,Separated,Female,Millenial
Not Very Strong Republican,Moderate,Separated,Female,Boomer
Strong Democrat,Extremely Liberal,Divorced,Male,Gen X
Other Party,Extremely Liberal,Widowed,Male,Boomer
Strong Democrat,Extremely Liberal,Separated,Female,Gen X
Strong Democrat,Extremely Conservative,Divorced,Male,Post-War
Strong Republican,Slightly Liberal,Widowed,Male,Millenial
Other Party,Conservative,Married,Male,Post-War
Not Very Strong Republican,Slightly Conservative,Married,Female,Millenial
Strong Republican,Moderate,Divorced,Female,Millenial
Other Party,Extremely Liberal,Married,Female,Millenial
"Independent, Close to Democrat",Extremely Liberal,Divorced,Male,Boomer
Other Party,Extremely Liberal,Married,Female,Millenial
Other Party,Conservative,Married,Male,Post-War
Other Party,Liberal,Divorced,Male,Millenial
Not Very Strong Republican,Liberal,Separated,Female,Gen Z
Strong Democrat,Moderate,Separated,Male,Millenial
"Independent, Close to Democrat",Extremely Conservative,Married,Female,Millenial
Independent (Neither),Slightly Liberal,Separated,Male,Post-War
Strong Democrat,Conservative,Separated,Male,Gen Z
Independent (Neither),Extremely Liberal,Separated,Female,Post-War
Strong Republican,Slightly Liberal,Never Married,Female,Post-War
Not Very Strong Democrat,Moderate,Separated,Male,Post-War
Not Very Strong Democrat,Extremely Conservative,Separated,Male,Boomer
Not Very Strong Democrat,Extremely Liberal,Never Married,Female,Boomer
Other Party,Extremely Liberal,Married,Female,Millenial
Strong Democrat,Slightly Conservative,Never Married,Male,Post-War
Independent (Neither),Slightly Conservative,Never Married,Male,Boomer
Strong Democrat,Liberal,Married,Female,Gen Z
Independent (Neither),Slightly Conservative,Divorced,Female,Post-War
Strong Republican,Extremely Conservative,Divorced,Female,Gen X
"Independent, Close to Democrat",Conservative,Married,Male,Gen X
Not Very Strong Democrat,Slightly Conservative,Separated,Male,Post-War
"Independent, Close to Republican",Conservative,Divorced,Male,Gen X
Strong Republican,Conservative,Widowed,Male,Gen Z
Strong Republican,Liberal,Never Married,Male,Gen Z
Other Party,Moderate,Married,Male,Boomer
Not Very Strong Republican,Extremely Liberal,Never Married,Female,Gen Z
Strong Republican,Conservative,Married,Male,Post-War
"Independent, Close to Republican",Slightly Conservative,Never Married,Male,Gen Z
Independent (Neither),Liberal,Separated,Female,Millenial
Other Party,Extremely Conservative,Separated,Female,Gen Z
Independent (Neither),Slightly Conservative,Separated,Male,Millenial
Strong Democrat,Moderate,Separated,Female,Gen Z
Other Party,Conservative,Divorced,Female,Millenial
Not Very Strong Republican,Extremely Conservative,Divorced,Female,Millenial
Strong Democrat,Conservative,Never Married,Female,Boomer
Not Very Strong Republican,Extremely Conservative,Married,Female,Gen X
"Independent, Close to Democrat",Slightly Conservative,Separated,Male,Boomer
"Independent, Close to Republican",Extremely Liberal,Widowed,Female,Millenial
Not Very Strong Republican,Moderate,Separated,Male,Boomer
Not Very Strong Democrat,Moderate,Married,Female,Boomer
Other Party,Extremely Liberal,Divorced,Female,Boomer
Strong Republican,Extremely Liberal,Married,Female,Gen Z
Not Very Strong Democrat,Extremely Conservative,Never Married,Male,Gen X
Not Very Strong Democrat,Extremely Conservative,Divorced,Female,Millenial
Strong Republican,Slightly Conservative,Divorced,Female,Millenial
Strong Democrat,Liberal,Divorced,Female,Gen X
Strong Democrat,Liberal,Married,Female,Millenial
Other Party,Extremely Conservative,Separated,Male,Post-War
Other Party,Liberal,Separated,Female,Gen X
"Independent, Close to Democrat",Extremely Liberal,Married,Female,Gen X
Other Party,Slightly Liberal,Widowed,Male,Boomer
"Independent, Close to Democrat",Moderate,Separated,Male,Post-War
Independent (Neither),Liberal,Never Married,Female,Post-War
"Independent, Close to Democrat",Extremely Conservative,Married,Male,Post-War
Other Party,Conservative,Married,Male,Boomer
Strong Democrat,Extremely Conservative,Widowed,Female,Boomer
Independent (Neither),Slightly Conservative,Divorced,Female,Millenial
Not Very Strong Democrat,Extremely Conservative,Never Married,Male,Post-War
Not Very Strong Republican,Conservative,Married,Male,Boomer
Not Very Strong Republican,Conservative,Married,Male,Gen Z
"Independent, Close to Democrat",Slightly Liberal,Separated,Female,Gen X
Strong Republican,Slightly Liberal,Widowed,Female,Gen X
"Independent, Close to Republican",Moderate,Married,Female,Millenial
"Independent, Close to Democrat",Moderate,Married,Female,Post-War
Other Party,Slightly Liberal,Never Married,Male,Gen Z
Not Very Strong Democrat,Moderate,Separated,Male,Post-War
Other Party,Slightly Liberal,Separated,Female,Gen Z
Independent (Neither),Extremely Conservative,Never Married,Male,Gen X
Strong Democrat,Extremely Liberal,Never Married,Male,Gen X
Strong Democrat,Extremely Liberal,Divorced,Male,Millenial
Independent (Neither),Extremely Conservative,Married,Female,Gen Z
Independent (Neither),Moderate,Widowed,Female,Millenial
"Independent, Close to Republican",Extremely Conservative,Married,Female,Millenial
Strong Democrat,Extremely Liberal,Never Married,Male,Boomer
Other Party,Extremely Conservative,Widowed,Male,Post-War
Not Very Strong Republican,Slightly Conservative,Widowed,Male,Boomer
Not Very Strong Democrat,Slightly Conservative,Divorced,Female,Gen X
"Independent, Close to Republican",Extremely Conservative,Never Married,Male,Boomer
"Independent, Close to Democrat",Conservative,Married,Female,Gen X
"Independent, Close to Democrat",Extremely Liberal,Never Married,Female,Post-War
Independent (Neither),Liberal,Separated,Female,Boomer
"Independent, Close to Republican",Moderate,Separated,Male,Gen X
Independent (Neither),Conservative,Separated,Female,Gen Z
